IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.66.191.194,8080,80,false,ORD,North America,Chicago,205,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,207,0.00
35.239.252.197,80,80,false,ORD,North America,Chicago,207,0.00
35.232.39.116,80,80,false,DFW,North America,Dallas,207,0.00
34.140.239.154,2053,80,false,CDG,Europe,Paris,209,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,209,0.00
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,209,0.00
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,209,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,209,0.00
34.140.239.154,2095,80,false,CDG,Europe,Paris,209,0.00
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,209,0.00
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,209,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,210,0.00
34.140.239.154,2087,80,false,CDG,Europe,Paris,210,0.00
34.140.239.154,2096,80,false,CDG,Europe,Paris,210,0.00
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,210,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,211,0.00
34.74.184.70,80,80,false,ATL,North America,Atlanta,219,0.00
34.74.184.70,80,80,false,ATL,North America,Atlanta,219,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.184.70,80,80,false,ATL,North America,Atlanta,220,0.00
34.74.184.70,80,80,false,ATL,North America,Atlanta,220,0.00
34.34.62.39,443,443,true,FRA,Europe,Frankfurt,257,0.00
34.65.184.187,443,443,true,FRA,Europe,Frankfurt,261,0.00
34.159.73.193,443,443,true,FRA,Europe,Frankfurt,321,0.00
34.116.135.49,443,443,true,FRA,Europe,Frankfurt,326,0.00
34.116.193.229,443,443,true,FRA,Europe,Frankfurt,327,0.00
34.118.4.22,443,443,true,FRA,Europe,Frankfurt,332,0.00
34.89.129.142,443,443,true,FRA,Europe,Frankfurt,369,0.00
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,381,0.00
34.118.60.19,443,443,true,FRA,Europe,Frankfurt,382,0.00
34.145.66.39,8080,8080,false,MAA,Asia Pacific,Chennai,464,0.00
