IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.52.125,443,443,true,FRA,Europe,Frankfurt,351,5.21
34.65.140.94,443,443,true,FRA,Europe,Frankfurt,258,5.21
34.116.129.250,443,443,true,FRA,Europe,Frankfurt,211,5.21
34.91.54.61,443,443,true,FRA,Europe,Frankfurt,256,5.20
34.116.251.40,443,443,true,FRA,Europe,Frankfurt,271,5.20
35.234.102.226,443,443,true,FRA,Europe,Frankfurt,251,5.20
34.159.163.30,443,443,true,FRA,Europe,Frankfurt,262,5.19
35.234.71.151,443,443,true,FRA,Europe,Frankfurt,252,5.19
34.147.8.51,443,443,true,FRA,Europe,Frankfurt,259,5.18
34.163.89.60,2053,443,true,CDG,Europe,Paris,298,5.17
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,273,5.16
35.234.103.173,443,443,true,FRA,Europe,Frankfurt,251,5.16
34.116.214.235,443,443,true,FRA,Europe,Frankfurt,201,5.16
35.204.152.99,443,443,true,FRA,Europe,Frankfurt,270,5.16
34.116.188.200,443,443,true,FRA,Europe,Frankfurt,311,5.15
34.90.117.213,443,443,true,FRA,Europe,Frankfurt,259,5.15
35.198.109.255,443,443,true,FRA,Europe,Frankfurt,253,5.15
34.159.111.74,443,443,true,FRA,Europe,Frankfurt,274,5.14
34.65.247.155,443,443,true,FRA,Europe,Frankfurt,263,5.14
34.32.137.92,443,443,true,FRA,Europe,Frankfurt,297,5.14
34.141.36.146,443,443,true,FRA,Europe,Frankfurt,267,5.14
34.90.186.118,443,443,true,FRA,Europe,Frankfurt,273,5.14
34.154.86.247,443,443,true,FRA,Europe,Frankfurt,253,5.14
35.204.84.99,443,443,true,FRA,Europe,Frankfurt,267,5.13
34.118.67.168,443,443,true,FRA,Europe,Frankfurt,271,5.13
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,189,5.12
34.90.182.66,443,443,true,FRA,Europe,Frankfurt,270,5.12
34.118.4.22,443,443,true,FRA,Europe,Frankfurt,202,5.12
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,202,5.11
34.116.240.209,443,443,true,FRA,Europe,Frankfurt,268,5.11
35.204.31.152,443,443,true,FRA,Europe,Frankfurt,196,5.10
34.118.44.79,443,443,true,FRA,Europe,Frankfurt,280,5.09
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,268,5.09
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,340,5.08
34.116.187.139,443,443,true,FRA,Europe,Frankfurt,279,5.07
34.116.235.43,443,443,true,FRA,Europe,Frankfurt,269,5.07
34.154.189.27,443,443,true,FRA,Europe,Frankfurt,254,5.06
34.154.11.70,443,443,true,FRA,Europe,Frankfurt,258,5.06
34.118.56.193,443,443,true,FRA,Europe,Frankfurt,202,5.06
34.65.233.61,443,443,true,FRA,Europe,Frankfurt,195,5.05
34.147.91.221,443,443,true,FRA,Europe,Frankfurt,263,5.04
34.91.240.66,443,443,true,FRA,Europe,Frankfurt,272,5.04
34.154.198.9,443,443,true,FRA,Europe,Frankfurt,259,5.04
34.154.101.119,443,443,true,FRA,Europe,Frankfurt,262,5.04
34.89.152.161,443,443,true,FRA,Europe,Frankfurt,262,5.04
34.65.105.132,443,443,true,FRA,Europe,Frankfurt,253,5.04
34.65.225.189,443,443,true,FRA,Europe,Frankfurt,263,5.03
34.141.71.224,443,443,true,FRA,Europe,Frankfurt,262,5.03
34.118.69.245,443,443,true,FRA,Europe,Frankfurt,278,5.03
34.107.90.240,443,443,true,FRA,Europe,Frankfurt,301,5.02
34.154.6.8,443,443,true,FRA,Europe,Frankfurt,265,5.02
34.116.157.238,443,443,true,FRA,Europe,Frankfurt,271,5.02
