IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.8.148.235,8443,443,true,LHR,Europe,London,253,6.02
141.144.249.144,443,443,true,FRA,Europe,Frankfurt,258,6.02
140.238.94.36,443,443,true,FRA,Europe,Frankfurt,195,6.01
144.21.53.26,443,443,true,FRA,Europe,Frankfurt,207,6.00
150.230.124.38,443,443,true,FRA,Europe,Frankfurt,262,5.99
158.180.57.247,443,443,true,FRA,Europe,Frankfurt,205,5.99
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,257,5.98
129.159.251.168,443,443,true,FRA,Europe,Frankfurt,194,5.96
140.238.102.114,8443,443,true,LHR,Europe,London,252,5.94
141.147.52.26,443,443,true,FRA,Europe,Frankfurt,250,5.94
130.162.56.26,443,443,true,FRA,Europe,Frankfurt,198,5.94
141.144.226.23,443,443,true,FRA,Europe,Frankfurt,258,5.94
158.180.26.84,443,443,true,FRA,Europe,Frankfurt,256,5.93
141.148.224.249,443,443,true,FRA,Europe,Frankfurt,209,5.93
130.61.97.10,443,443,true,FRA,Europe,Frankfurt,255,5.92
130.162.54.148,443,443,true,FRA,Europe,Frankfurt,277,5.89
129.159.197.202,443,443,true,FRA,Europe,Frankfurt,254,5.89
140.238.102.114,8443,443,true,LHR,Europe,London,263,5.89
141.148.244.172,443,443,true,FRA,Europe,Frankfurt,262,5.88
143.47.178.189,443,443,true,FRA,Europe,Frankfurt,255,5.88
144.21.56.37,443,443,true,FRA,Europe,Frankfurt,265,5.88
138.2.165.232,443,443,true,FRA,Europe,Frankfurt,317,5.87
141.148.225.46,443,443,true,FRA,Europe,Frankfurt,262,5.86
141.148.224.34,443,443,true,FRA,Europe,Frankfurt,285,5.86
152.70.167.28,443,443,true,FRA,Europe,Frankfurt,251,5.85
130.162.57.85,443,443,true,FRA,Europe,Frankfurt,250,5.84
158.101.164.251,443,443,true,FRA,Europe,Frankfurt,203,5.84
152.70.63.195,443,443,true,FRA,Europe,Frankfurt,264,5.83
152.70.187.7,443,443,true,FRA,Europe,Frankfurt,198,5.80
