IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.56.30,443,443,true,FRA,Europe,Frankfurt,284,4.71
150.230.149.141,443,443,true,FRA,Europe,Frankfurt,249,4.68
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,69,4.68
155.248.202.141,443,443,true,SJC,North America,San Jose,173,4.59
158.180.15.99,443,443,true,FRA,Europe,Frankfurt,283,4.59
132.226.197.217,443,443,true,FRA,Europe,Frankfurt,249,4.59
192.18.139.229,8443,443,true,SJC,North America,San Jose,173,4.51
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,79,4.46
130.162.231.82,443,443,true,FRA,Europe,Frankfurt,273,4.44
155.248.196.123,443,443,true,YVR,North America,Vancouver,176,4.37
152.70.57.111,443,443,true,FRA,Europe,Frankfurt,187,4.34
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,207,4.29
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,242,4.28
150.230.148.37,443,443,true,FRA,Europe,Frankfurt,182,4.23
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,252,4.22
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,202,4.09
89.168.19.143,2095,443,true,CDG,Europe,Paris,314,4.04
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,232,4.02
89.168.19.143,2053,443,true,MRS,Europe,Marseille,241,3.99
152.70.155.147,443,443,true,LAX,North America,Los Angeles,204,3.94
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,65,3.92
129.146.254.39,443,443,true,LAX,North America,Los Angeles,228,3.83
192.18.159.129,443,443,true,YYZ,North America,Toronto,236,3.82
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,281,3.82
158.101.24.17,443,443,true,LAX,North America,Los Angeles,223,3.72
129.153.213.8,443,443,true,LAX,North America,Los Angeles,232,3.70
151.145.36.72,443,443,true,YYZ,North America,Toronto,240,3.66
130.61.205.145,443,443,true,FRA,Europe,Frankfurt,206,3.57
141.145.199.188,443,443,true,CDG,Europe,Paris,250,3.53
130.162.220.42,443,443,true,FRA,Europe,Frankfurt,208,3.50
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,231,3.46
140.238.123.26,443,443,true,FRA,Europe,Frankfurt,258,3.41
143.47.238.60,443,443,true,FRA,Europe,Frankfurt,278,3.38
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,252,3.35
138.2.226.15,443,443,true,SJC,North America,San Jose,173,3.31
158.101.219.132,443,443,true,FRA,Europe,Frankfurt,257,3.23
141.144.244.218,443,443,true,FRA,Europe,Frankfurt,282,3.02
158.180.231.216,443,443,true,MRS,Europe,Marseille,240,3.00
130.162.176.150,443,443,true,FRA,Europe,Frankfurt,283,2.94
130.162.214.167,443,443,true,FRA,Europe,Frankfurt,205,2.94
158.101.164.251,443,443,true,FRA,Europe,Frankfurt,298,2.92
144.21.39.115,443,443,true,FRA,Europe,Frankfurt,254,2.88
140.238.158.238,8080,443,true,YYZ,North America,Toronto,243,2.80
150.230.23.198,443,443,true,FRA,Europe,Frankfurt,279,2.76
89.168.68.57,8443,443,true,FRA,Europe,Frankfurt,249,2.71
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,211,2.62
84.8.150.230,443,443,true,FRA,Europe,Frankfurt,279,2.47
140.238.102.114,8443,443,true,LHR,Europe,London,243,2.21
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,252,2.11
132.226.163.224,2053,443,true,GRU,South America,São Paulo,373,1.91
193.123.32.63,443,443,true,FRA,Europe,Frankfurt,257,1.82
130.162.172.127,443,443,true,FRA,Europe,Frankfurt,277,1.74
144.21.36.89,443,443,true,FRA,Europe,Frankfurt,277,1.74
141.144.248.225,443,443,true,FRA,Europe,Frankfurt,249,1.72
152.70.63.195,443,443,true,FRA,Europe,Frankfurt,276,1.69
152.67.151.76,443,443,true,FRA,Europe,Frankfurt,280,1.65
150.136.241.40,8443,443,true,IAD,North America,Ashburn,253,1.62
84.8.146.236,443,443,true,FRA,Europe,Frankfurt,345,1.57
130.162.63.50,443,443,true,FRA,Europe,Frankfurt,247,1.52
140.238.158.238,443,443,true,YYZ,North America,Toronto,233,1.32
132.226.163.224,8443,443,true,GRU,South America,São Paulo,394,1.17
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,249,0.99
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,314,0.76
